policy,episodes,episode_reward_mean,episode_reward_std,episode_reward_ci95_low,episode_reward_ci95_high,episode_reward_min,episode_reward_max,completion_rate_mean,completion_rate_std,completion_rate_ci95_low,completion_rate_ci95_high,completion_rate_min,completion_rate_max,priority_completion_rate_mean,priority_completion_rate_std,priority_completion_rate_ci95_low,priority_completion_rate_ci95_high,priority_completion_rate_min,priority_completion_rate_max,collision_count_mean,collision_count_std,collision_count_ci95_low,collision_count_ci95_high,collision_count_min,collision_count_max,timeout_count_mean,timeout_count_std,timeout_count_ci95_low,timeout_count_ci95_high,timeout_count_min,timeout_count_max,steps_mean,steps_std,steps_ci95_low,steps_ci95_high,steps_min,steps_max,total_battery_mean,total_battery_std,total_battery_ci95_low,total_battery_ci95_high,total_battery_min,total_battery_max
greedy,20,-7661.234,5134.0048,-9911.3108,-5411.1572,-17135.21,-1343.822,0.9167,0.1179,0.865,0.9683,0.5833,1.0,0.9101,0.138,0.8496,0.9706,0.5106,1.0,335.05,299.3685,203.846,466.254,184.0,1468.0,0.65,0.5871,0.3927,0.9073,0.0,2.0,304.75,130.9551,247.3564,362.1436,154.0,420.0,89.45,108.3544,41.9616,136.9384,0.0,255.0
greedy_shield,20,-4784.0519,4206.1512,-6627.4789,-2940.6249,-11909.29,-527.232,0.8917,0.1691,0.8176,0.9658,0.5833,1.0,0.8777,0.1928,0.7932,0.9621,0.5106,1.0,191.5,55.698,167.0893,215.9107,116.0,295.0,0.45,0.6863,0.1492,0.7508,0.0,2.0,266.15,128.9869,209.619,322.681,154.0,420.0,100.19,95.1012,58.51,141.87,0.0,255.0
ippo_greedy_shield,20,-1252.3379,428.2137,-1440.0108,-1064.665,-2612.3,-831.812,0.1792,0.0823,0.1431,0.2153,0.0,0.25,0.1516,0.064,0.1235,0.1796,0.0,0.2021,37.2,29.1667,24.4171,49.9829,0.0,82.0,4.0,0.0,4.0,4.0,4.0,4.0,420.0,0.0,420.0,420.0,420.0,420.0,2.42,6.6914,-0.5126,5.3526,0.0,24.4
ippo_sample_shield,20,535.1748,593.9967,274.8443,795.5053,-1240.846,1106.47,0.9875,0.0305,0.9741,1.0009,0.9167,1.0,0.9867,0.0334,0.972,1.0014,0.883,1.0,40.9,16.6256,33.6135,48.1865,10.0,76.0,0.2,0.4104,0.0201,0.3799,0.0,1.0,228.6,88.7358,189.7098,267.4902,167.0,420.0,265.34,61.2382,238.5012,292.1788,171.8,394.0
random,20,-7621.206,991.5235,-8055.7603,-7186.6517,-9101.904,-5661.208,0.4625,0.1564,0.3939,0.5311,0.1667,0.8333,0.4399,0.161,0.3693,0.5105,0.1915,0.8085,52.9,12.6195,47.3692,58.4308,34.0,84.0,6.4,1.667,5.6694,7.1306,4.0,11.0,420.0,0.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0
