policy,episodes,episode_reward_mean,episode_reward_std,episode_reward_ci95_low,episode_reward_ci95_high,episode_reward_min,episode_reward_max,completion_rate_mean,completion_rate_std,completion_rate_ci95_low,completion_rate_ci95_high,completion_rate_min,completion_rate_max,priority_completion_rate_mean,priority_completion_rate_std,priority_completion_rate_ci95_low,priority_completion_rate_ci95_high,priority_completion_rate_min,priority_completion_rate_max,collision_count_mean,collision_count_std,collision_count_ci95_low,collision_count_ci95_high,collision_count_min,collision_count_max,timeout_count_mean,timeout_count_std,timeout_count_ci95_low,timeout_count_ci95_high,timeout_count_min,timeout_count_max,steps_mean,steps_std,steps_ci95_low,steps_ci95_high,steps_min,steps_max,total_battery_mean,total_battery_std,total_battery_ci95_low,total_battery_ci95_high,total_battery_min,total_battery_max
greedy,2,107.99,0.5798,107.1864,108.7936,107.58,108.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,13.0,174.4,0.5657,173.616,175.184,174.0,174.8
greedy_shield,2,107.99,0.5798,107.1864,108.7936,107.58,108.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,13.0,13.0,13.0,174.4,0.5657,173.616,175.184,174.0,174.8
ippo_greedy_shield,2,-41.225,15.9453,-63.324,-19.126,-52.5,-29.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,80.0,0.0,80.0,80.0,80.0,80.0,40.0,0.0,40.0,40.0,40.0,40.0
ippo_sample_shield,2,-20.915,90.3895,-146.1884,104.3584,-84.83,43.0,0.25,0.3536,-0.24,0.74,0.0,0.5,0.25,0.3536,-0.24,0.74,0.0,0.5,3.0,4.2426,-2.88,8.88,0.0,6.0,1.5,0.7071,0.52,2.48,1.0,2.0,80.0,0.0,80.0,80.0,80.0,80.0,66.8,18.6676,40.928,92.672,53.6,80.0
random,2,-7.635,36.7201,-58.5264,43.2564,-33.6,18.33,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,5.0,4.2426,-0.88,10.88,2.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,80.0,0.0,80.0,80.0,80.0,80.0,49.6,2.2627,46.464,52.736,48.0,51.2
